id,name
0,lemon
1,lemon juice
2,lemon zest
3,lemons
4,fresh lemon juice
5,"lemon, juice of"
6,10-inch flour tortillas
7,6-inch flour tortillas
8,flour tortillas
9,soft taco-size flour tortillas
10,accent seasoning
11,agar-agar
12,ahmed brand vermicelli
13,aji yellow paste
14,all purpose greek seasoning
15,anchovies
16,anchovy paste
17,apple
18,apple cider vinegar
19,arrowroot
20,artichoke heart
21,artichoke hearts
22,artichokes
23,arugula
24,asian pears
25,asian-style dressing
26,asparagus
27,avocado
28,avocados
29,bacon
30,baguette
31,baking potatoes
32,baking powder
33,baking soda
34,balsamic vinegar
35,bamboo shoot
36,banana peppers
37,barbecue sauce
38,barley
39,basil
40,basil leaves
41,basil pesto
42,bay leaf
43,bay leaves
44,bean sprouts
45,beans
46,beau monde seasoning
47,beef
48,lean beef
49,lean ground beef
50,london broil beef
51,roast beef
52,deli roast beef
53,ground beef
54,beef consomme
55,beef stock
56,beer
57,bell pepper
58,bell peppers
59,black beans
60,canned black beans
61,pepper
62,black pepper
63,black peppercorns
64,cracked black pepper
65,ground black pepper
66,fresh coarse ground black pepper
67,fresh ground black pepper
68,fresh ground pepper
69,blue cheese
70,blue cheese dressing
71,bok choy
72,baby bok choy
73,boneless skinless chicken thighs
74,boneless chicken thighs
75,boneless pork chops
76,cooked chicken breast
77,chicken breast
78,chicken breasts
79,boneless chicken breast
80,skinless chicken breasts
81,boneless skinless chicken breast
82,boneless skinless chicken breast halves
83,boneless skinless chicken breasts
84,cooked boneless skinless chicken breast
85,bonito tuna
86,bread
87,breadcrumbs
88,bread flour
89,broccoli
90,broccoli floret
91,broccoli florets
92,butter
93,unsalted butter
94,buttermilk
95,button mushrooms
96,cabbage
97,cabbage kimchi
98,kim chee
99,caesar salad dressing
100,canadian bacon
101,canned pineapple
102,canned tuna
103,cannellini beans
104,canola oil
105,capers
106,cardamom
107,cardamom pods
108,whole cardamom pods
109,ground cardamom
110,cardamom powder
111,green cardamoms
112,carrot
113,carrots
114,cashews
115,cauliflower
116,cauliflower floret
117,cayenne
118,cayenne pepper
119,celery
120,celery ribs
121,charoli nuts
122,cheese
123,cheese slices
124,cheddar cheese
125,sharp cheddar cheese
126,shredded cheddar cheese
127,fat-free cheddar cheese
128,cheese tortellini
129,cherry peppers
130,cherry tomatoes
131,chicken
132,cooked chicken
133,roasting chickens
134,chicken broth
135,chicken stock
136,chicken stock powder
137,instant chicken broth
138,low sodium chicken broth
139,ready-to-serve chicken broth
140,reduced-sodium fat-free chicken broth
141,chickpea flour
142,chickpeas
143,canned chick-peas
144,chili
145,chili powder
146,chili paste with garlic and ginger
147,chinese bellflower
148,chinese noodles
149,chinese radishes
150,chinese red vinegar
151,chinese vegetables
152,chipotle chile in adobo
153,chipotle chiles in adobo
154,chipotle chili mayonnaise
155,chocolate ice cream
156,chocolate sprinkles
157,cider vinegar
158,cilantro
159,cinnamon
160,cinnamon stick
161,ground cinnamon
162,cinnamon sugar
163,citric acid
164,cloves
165,ground cloves
166,coarse salt
167,cognac
168,cooked pasta
169,cooked pork
170,cooked turkey
171,cooking oil
172,cooking spray
173,vegetable oil cooking spray
174,pam cooking spray
175,olive oil flavored cooking spray
176,coriander
177,coriander leaves
178,coriander powder
179,fresh coriander
180,fresh coriander leaves
181,ground coriander
182,corkscrew macaroni
183,corn kernel
184,corn tortilla
185,corn tortillas
186,6-inch corn tortillas
187,cornflour
188,cornmeal
189,cornstarch
190,cottage cheese
191,2% fat cottage cheese
192,nonfat cottage cheese
193,country bread
194,crabmeat
195,craisins
196,cream
197,fresh cream
198,heavy cream
199,whipping cream
200,whipped cream
201,cream cheese
202,cream of chicken soup
203,crescent rolls
204,croissants
205,crouton
206,crusty bread
207,cucumber
208,cumin
209,cumin powder
210,cumin seed
211,cumin seeds
212,curry leaves
213,curry powder
214,dashi
215,deli turkey
216,dijon mustard
217,dill
218,dill pickle slices
219,dill weed
220,dried basil
221,dried brown lentils
222,dried chinese mushrooms
223,dried curry leaves
224,dried hijiki seaweed
225,dried marjoram
226,dried mint flakes
227,dried oregano
228,dried parsley
229,dried rosemary
230,fresh shiitake mushrooms
231,dried shiitake mushroom
232,dried shiitake mushrooms
233,dried shrimp
234,dried thyme
235,dried whole thyme
236,dry breadcrumbs
237,dry mustard
238,dry sherry
239,dry white wine
240,duck broth
241,dumpling wrappers
242,edamame
243,egg
244,egg noodles
245,egg roll wraps
246,egg white
247,egg whites
248,eggplants
249,elbow macaroni
250,english cucumber
251,english muffins
252,fennel seeds
253,feta
254,feta cheese
255,fiesta nacho cheese soup
256,fine egg noodles
257,fish cake
258,fish fillets
259,fish sauce
260,five-spice powder
261,flat iron steaks
262,flat leaf parsley
263,flat-leaf italian parsley
264,flour
265,all-purpose flour
266,all-purpose white flour
267,fontina
268,frank's red hot sauce
269,frankfurters
270,french bread
271,french haricots vert
272,french onion soup
273,fresh basil
274,fresh basil leaf
275,fresh bean sprout
276,fresh carrots
277,fresh chives
278,fresh cilantro
279,fresh cilantro stem
280,fresh dill
281,fresh dill weed
